,BNS_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
70,360,178.81,0.445,0.328,0.441,2869,1788.964058,0.371967954
71,361,152.0664505,0.495411565,0.361544553,0.489526065,2232,1079.290198,0.408068631
72,370,284.0589463,0.25739079,0.205950821,0.249724134,3977,2297.378314,0.204041044
73,379,124.1777428,0.969701998,0.951471805,0.92465094,173,66.31718366,0.950596516
74,382,312.3478776,0.37322185,0.3347925,0.356470168,1550,1550.841175,0.334509879
75,401,318.4784982,0.448543693,0.411899758,0.425163474,4235,2371.039303,0.441057359
76,402,319.8741152,0.287499582,0.257825509,0.278189198,4400,2708.316671,0.262102106
77,403,313.8141955,0.851465124,0.824683918,0.839444962,2553,2382.972987,0.841773374
78,404,190.6144947,0.37483207,0.308673974,0.367393841,1888,786.1674596,0.310939987
79,407,290.613776,0.352276786,0.28413953,0.337812117,2354,1116.245275,0.30022173
80,415,130.24,0.322,0.139,0.183,3672,1680.485564,0.15439679
81,418,167.0239063,0.620924451,0.490055269,0.608920621,1008,425.8882453,0.50140359
82,420,165.5954754,0.421024941,0.276237721,0.417000615,3275,1491.51372,0.30059567
83,425,205.32,0.783,0.696,0.757,389,159.2425472,0.712831958
84,442,346.7551265,0.428160038,0.40547965,0.408356985,3271,1909.6254,0.414243877
85,444,211.2837842,0.956793253,0.943565672,0.921842105,196,79.81142569,0.936409116
86,445,137.7094241,0.910095931,0.85267252,0.856862331,303,122.6940024,0.877345747
87,447,256.1039692,0.352010555,0.305995759,0.34371381,2564,1457.063406,0.307823283
88,448,424.31,0.198,0.177,0.183,5865,3291.703309,0.187283982
89,448,424.3147678,0.200367683,0.171467571,0.177307042,5865,3291.703309,0.192758161
90,457,363.8382704,0.31066865,0.271562172,0.291635548,5966,2378.750299,0.298289991
91,463,378.1570939,0.214473421,0.200888134,0.207767849,5453,2663.886649,0.191432595
92,471,324.6553502,0.303766408,0.241422075,0.2691673,4055,1893.469029,0.274055646
93,482,319.5228029,0.240506813,0.205394602,0.225454475,4680,2553.047647,0.199848922
94,487,327.83,0.279,0.256,0.274,7252,4533.540767,0.256096447
95,499,171.7907721,0.352167805,0.240108618,0.349413001,3786,1594.54993,0.256370316
96,500,232.08,0.519,0.45,0.507,3053,9715.487076,0.420669881
97,504,154.8561633,0.785578639,0.604723566,0.769440229,542,383.6089097,0.691655776
98,509,205.2563806,0.537943395,0.466357782,0.533167402,2260,1135.758814,0.481498892
99,511,167.278,0.973262311,0.969976997,0.967939204,423,170.494,0.968767801
100,512,233.4288122,0.777042295,0.736880276,0.750700824,1034,430.8715417,0.755089915
101,526,211.6930326,0.273011036,0.187544627,0.268825047,3267,1756.638202,0.112510195
102,550,342.41,0.543,0.513,0.526,3015,1654.244575,0.531814805
103,554,278.4223223,0.868014777,0.846024445,0.855296245,599,301.6205703,0.861001474
104,555,229.8559698,0.400370197,0.366407832,0.392891546,5562,2625.528381,0.377748425
105,557,249.2504938,0.565164585,0.531456538,0.559069255,1943,951.0883418,0.5349174
106,559,319.194,0.8549101,0.101643724,0.103829328,1143,830.663,0.842441522
107,560,292.41,0.397,0.369,0.382,2507,1261.62639,0.357137223
108,562,290.6180169,0.726761284,0.702612116,0.699780086,1570,1085.440635,0.71526821
109,565,330.1765769,0.237043571,0.206148193,0.226054452,4689,2724.289447,0.199143376
110,577,380.3076435,0.578696689,0.570084439,0.575004396,3408,1754.054756,0.575991755
111,582,280.348015,0.758930637,0.7110821,0.738918412,872,427.6061711,0.737089263
112,584,286.8385391,0.433375101,0.391803226,0.411486338,4411,2024.542838,0.398839873
113,586,180.8672935,0.934294899,0.889213009,0.910279957,254,100.4003081,0.91249506
114,588,180.9708941,0.888119059,0.834862471,0.868832315,313,126.4314747,0.85445233
115,594,267.1030871,0.452890607,0.400791279,0.444003416,3419,1542.815445,0.405163123
116,605,361.7450568,0.179702679,0.153141731,0.166408369,4501,2419.639557,0.157821788
117,608,143.52156,0.785493694,0.695313615,0.774267298,599,235.5000957,0.709643598
118,609,198.6178107,0.140502447,0.069124673,0.100865355,2868,2336.32671,0.110105238
119,612,314.519143,0.769336053,0.717880718,0.722797773,640,480.8881006,0.742541606
120,622,151.1722512,0.521509412,0.396398622,0.51531305,2076,1098.069357,0.35223113
121,633,275.2399342,0.48931275,0.440472323,0.476746714,1344,639.2782418,0.423819925
122,635,223.8411247,0.337799187,0.290623345,0.322483429,3506,1952.835826,0.281147324
123,638,343.1857583,0.680686617,0.656942381,0.639286167,1614,1062.897776,0.652781968
124,644,315.1758711,0.288350329,0.260841051,0.278312373,2632,1408.345126,0.258308726
125,655,375.1432386,0.299845414,0.283171409,0.281959506,4408,2474.954147,0.269299934
126,658,273.030537,0.288818612,0.251213168,0.280397966,3508,1924.588403,0.219854597
127,661,313.1264031,0.654037959,0.612408148,0.642690259,2025,1288.129658,0.63909499
128,662,157.7554458,0.345268486,0.182031013,0.344451163,2630,1431.373201,0.179565329
129,677,149.0705517,0.463491123,0.319676232,0.449553785,1962,824.1454235,0.364105842
130,681,325.7019596,0.239967868,0.182117397,0.209692356,4739,2509.561829,0.19202254
131,695,291.1410332,0.343734548,0.320439591,0.330604565,4372,1818.195026,0.326062147
132,713,209.76,0.308,0.21,0.304,3115,1671.450061,0.217437663
133,714,257.4,0.744,0.556,0.608,1076,467.1578077,0.697426758
134,719,311.03,0.774,0.768,0.773,2582,1579.770522,0.764333214
135,722,367.9,0.286,0.242,0.26,3358,1977.398231,0.256810991
136,726,194.88,0.557,0.498,0.552,5883,4134.706575,0.42394113
137,727,80.02,0.861,0.588,0.837,644,261.8853387,0.665904186
138,734,187.15,0.87,0.787,0.852,521,328.9237889,0.838183016
139,737,405.27,0.335,0.311,0.316,9450,4948.937862,0.31986206
140,740,92.38964057,0.9013281,0.721714795,0.873889936,677,276.5204933,0.789537105
141,744,217.1978573,0.295917552,0.215722044,0.293283321,3096,1739.878589,0.196409086
142,750,285.6256574,0.387612799,0.32368879,0.367073407,4695,1960.638619,0.360285998
143,757,190.5966502,0.800220632,0.71151917,0.79945575,987,500.7426025,0.698349617
144,759,98.39964867,0.954607903,0.89217134,0.903355419,229,91.49594431,0.905073028
145,762,222.7700447,0.325725304,0.255523249,0.318359626,3520,1895.567259,0.195547876
146,765,167.06,0.609,0.489,0.596,6311,5553.162548,0.529652949
147,766,157.5376056,0.848510824,0.764471906,0.819835591,572,226.1367441,0.817684673
148,767,254.0758068,0.276794155,0.19952891,0.266645427,3654,1987.168115,0.208098025
149,768,267.2828608,0.218665925,0.165565631,0.213305809,4995,3103.518301,0.171116454
150,775,269.7240003,0.326702097,0.273863907,0.308417426,4557,2406.197771,0.307386193
151,780,263.6330994,0.571651641,0.534144758,0.565441316,1964,826.584616,0.528001912
152,782,265.5955988,0.231172294,0.179772593,0.228889086,3422,1432.173151,0.164875652
153,783,216.6843796,0.771138867,0.739725071,0.761806162,893,397.0113542,0.741537521
154,785,257.4919698,0.462956601,0.412992758,0.454078988,1415,715.9554364,0.376742335
155,786,148.8759132,0.8160887,0.755923119,0.778330422,397,161.9177905,0.775463367
156,790,362.621197,0.255772308,0.206298427,0.223124055,4224,2266.639244,0.232240837
157,800,132.4109419,0.835924289,0.565001952,0.786228563,762,356.5679699,0.677368776
158,804,289.4267464,0.87769095,0.851152578,0.863526674,371,159.2425472,0.85171886
159,811,139.1603881,0.874900192,0.769846379,0.850010457,912,231.2118381,0.771393766
160,815,401.8882747,0.142579947,0.125174104,0.132629238,5108,2730.911985,0.122873806
161,818,274.1759675,0.622081258,0.588731424,0.598397469,4290,2704.18578,0.586670121
162,822,99.02730702,0.59708211,0.487358404,0.585754558,1048,593.4712569,0.51372275
163,827,349.8285439,0.503731394,0.421279682,0.416494122,2906,1361.043153,0.487354992
164,840,134.9637225,0.826226214,0.746553715,0.807805647,601,227.4743658,0.74313583
165,847,195.41,0.685,0.586,0.665,667,360.1611888,0.637363465
166,851,239.7214242,0.660382313,0.598253123,0.636584579,896,372.9079364,0.598960734
167,857,294.7468456,0.251879278,0.207421968,0.233853046,3616,2179.890545,0.229042962
168,863,343.6786927,0.171306323,0.152527818,0.159277433,5169,2944.669172,0.148908647
169,868,209.1725572,0.624914075,0.580778268,0.611425179,2865,1163.888211,0.574085193
170,872,62.10616814,0.965995478,0.793531079,0.843275303,274,141.355136,0.813626047
171,875,279.4742028,0.260900503,0.206970435,0.255597271,5013,2764.365641,0.196023194
172,878,315.6241969,0.387293533,0.320078111,0.361780698,1567,711.5360393,0.316113354
173,882,310.443279,0.470603524,0.431220941,0.439339463,2754,1755.431719,0.434368008
174,887,288.6673473,0.879461278,0.865194403,0.872375495,789,394.8213265,0.86938829
175,892,192.0498228,0.445563916,0.395240387,0.442920294,2471,1497.178941,0.359893367
176,901,228.7284437,0.277083971,0.190430883,0.273466637,3967,2109.888345,0.182510983
177,914,301.3663846,0.292822853,0.263146848,0.283925402,5416,2886.010528,0.209039708
