,Tile No,RA_Center,DEC_Center
166,166,140.61176470588236,-33.0
167,167,141.45882352941177,-33.0
168,168,142.30588235294118,-33.0
169,169,143.1529411764706,-33.0
170,170,144.0,-33.0
171,171,144.8470588235294,-33.0
172,172,145.69411764705882,-33.0
173,173,146.54117647058823,-33.0
174,174,147.38823529411764,-33.0
175,175,148.23529411764704,-33.0
176,176,149.08235294117648,-33.0
177,177,149.9294117647059,-33.0
178,178,150.7764705882353,-33.0
179,179,151.6235294117647,-33.0
180,180,152.47058823529412,-33.0
181,181,153.31764705882352,-33.0
182,182,154.16470588235293,-33.0
183,183,155.01176470588234,-33.0
184,184,155.85882352941175,-33.0
185,185,156.7058823529412,-33.0
186,186,157.5529411764706,-33.0
187,187,158.4,-33.0
188,188,159.24705882352941,-33.0
189,189,160.09411764705882,-33.0
190,190,160.94117647058823,-33.0
191,191,161.78823529411764,-33.0
192,192,162.63529411764705,-33.0
193,193,163.48235294117646,-33.0
194,194,164.32941176470587,-33.0
195,195,165.1764705882353,-33.0
196,196,166.0235294117647,-33.0
197,197,166.87058823529412,-33.0
198,198,167.71764705882353,-33.0
199,199,168.56470588235294,-33.0
200,200,169.41176470588235,-33.0
201,201,170.25882352941176,-33.0
202,202,171.10588235294117,-33.0
203,203,171.95294117647057,-33.0
204,204,172.8,-33.0
205,205,173.64705882352942,-33.0
206,206,174.49411764705883,-33.0
207,207,175.34117647058824,-33.0
208,208,176.18823529411765,-33.0
209,209,177.03529411764706,-33.0
210,210,177.88235294117646,-33.0
211,211,178.72941176470587,-33.0
212,212,179.57647058823528,-33.0
213,213,180.4235294117647,-33.0
214,214,181.27058823529413,-33.0
215,215,182.11764705882354,-33.0
216,216,182.96470588235294,-33.0
217,217,183.81176470588235,-33.0
218,218,184.65882352941176,-33.0
219,219,185.50588235294117,-33.0
220,220,186.35294117647058,-33.0
221,221,187.2,-33.0
222,222,188.0470588235294,-33.0
223,223,188.89411764705883,-33.0
224,224,189.74117647058824,-33.0
225,225,190.58823529411765,-33.0
226,226,191.43529411764706,-33.0
227,227,192.28235294117647,-33.0
228,228,193.12941176470588,-33.0
229,229,193.9764705882353,-33.0
230,230,194.8235294117647,-33.0
231,231,195.6705882352941,-33.0
232,232,196.5176470588235,-33.0
233,233,197.36470588235295,-33.0
234,234,198.21176470588236,-33.0
235,235,199.05882352941177,-33.0
236,236,199.90588235294118,-33.0
237,237,200.75294117647059,-33.0
238,238,201.6,-33.0
239,239,202.4470588235294,-33.0
240,240,203.2941176470588,-33.0
241,241,204.14117647058822,-33.0
242,242,204.98823529411766,-33.0
243,243,205.83529411764707,-33.0
244,244,206.68235294117648,-33.0
245,245,207.52941176470588,-33.0
246,246,208.3764705882353,-33.0
247,247,209.2235294117647,-33.0
248,248,210.0705882352941,-33.0
249,249,210.91764705882352,-33.0
250,250,211.76470588235293,-33.0
251,251,212.61176470588234,-33.0
252,252,213.45882352941177,-33.0
253,253,214.30588235294118,-33.0
254,254,215.1529411764706,-33.0
255,255,216.0,-33.0
256,256,216.8470588235294,-33.0
257,257,217.69411764705882,-33.0
258,258,218.54117647058823,-33.0
