NSBH_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
284,468.3157473,0.229559923,0.199578098,0.204694117,4494,3462.774628,0.219512224
287,351.7139297,0.282978531,0.250522064,0.269441684,3812,1594.497474,0.247414022
288,272.3585633,0.5720929,0.513544763,0.561935125,1699,740.6620953,0.488803078
292,563.9848644,0.23506459,0.211769623,0.206123957,6012,3005.609641,0.222334756
296,334.4208747,0.748760971,0.723934193,0.726090938,799,342.7458794,0.705255143
299,110.5760417,0.83450104,0.687714996,0.774169427,447,294.3423348,0.651991452
300,605.35,0.158,0.128,0.124,10000,7624.771308,0.139896728
304,499.8793941,0.59904629,0.565486411,0.559639144,1381,664.3783188,0.592302049
310,325.5039709,0.737239596,0.687534821,0.699508166,534,221.6517774,0.711044786
318,365.2173509,0.370637193,0.291264035,0.33327729,2050,899.4063128,0.351686588
321,557.8262372,0.292582093,0.257779701,0.257576816,3299,1376.071725,0.276558867
322,596.4164827,0.214647129,0.191951381,0.187555186,3651,2100.957753,0.195103569
327,328.2011865,0.523596402,0.498199533,0.51214312,4893,2159.799993,0.504415069
328,449.0701893,0.907077868,0.898608555,0.889099511,349,170.2320271,0.904527935
331,351.8711805,0.555149966,0.460344276,0.52303835,1630,677.3480034,0.535260824
337,582.9244688,0.296945141,0.274582582,0.272833468,4522,2126.267653,0.290007909
341,721.7015353,0.245094246,0.212927207,0.199490822,4157,2137.663665,0.242680788
343,534.7920031,0.348696007,0.316215357,0.309916796,3208,1897.350755,0.340465078
348,131.7225492,0.495004573,0.385196907,0.479335577,4227,1844.593383,0.428924539
350,284.1522962,0.320100742,0.250487388,0.310252776,2367,1312.128164,0.227493721
354,451.582053,0.212714949,0.18424269,0.195309328,2871,1442.362681,0.184077562
355,261.3288749,0.245439385,0.21599816,0.232821797,4233,2649.697368,0.216525089
357,243.0036559,0.313745275,0.228635486,0.312588786,3163,1317.557335,0.132448573
364,391.7318132,0.395181462,0.326985837,0.354163902,2337,1724.181205,0.368876005
370,323.1635602,0.382306902,0.348140835,0.354308835,3023,1444.710076,0.365792944
374,497.867359,0.398306287,0.375193341,0.379512718,5123,2283.398857,0.393024954
377,413.9453501,0.325238128,0.274835363,0.286072605,2538,1409.302444,0.304920022
387,498.08,0.395,0.34,0.333,3237,1809.972587,0.377176502
391,511.43461,0.272433209,0.247999524,0.259735957,2810,1331.969552,0.225051006
402,707.9278001,0.346438185,0.318980829,0.307354253,3633,2102.138008,0.343297253
405,482.6148456,0.256469971,0.228959626,0.226919348,4804,1986.328823,0.244594435
407,424.0931982,0.616528736,0.587423266,0.589692655,573,234.805057,0.567703431
412,208.3155658,0.319400482,0.269402237,0.313119887,1979,822.9258273,0.266370158
418,398.5838323,0.61408192,0.586194715,0.572195094,617,256.1676618,0.588125832
423,466.7109706,0.934480433,0.923208458,0.928036431,277,92.09918545,0.929126543
424,378.2598811,0.861250284,0.816805651,0.825214,401,163.8193115,0.852700798
434,436.7923857,0.511165346,0.437977405,0.465236286,2034,858.3596874,0.497951601
441,361.16271,0.846910662,0.826633852,0.831565176,408,160.6457385,0.822076507
443,316.4139216,0.463274463,0.410094319,0.446106971,1172,849.1143612,0.407920505
445,424.3599839,0.920000537,0.846743662,0.825116273,254,104.5311985,0.916218863
447,522.66,0.174,0.154,0.156,4650,3223.130528,0.164362038
448,643.6351233,0.275040162,0.238403162,0.242002574,5238,2466.325176,0.263595881
451,474.8069842,0.194746986,0.174331919,0.18158239,3380,1436.828599,0.172678273
452,587.766739,0.390743706,0.347253531,0.346512377,2987,1700.536775,0.364887786
455,620.4621924,0.551203217,0.527696776,0.5282515,3640,1617.538663,0.546686707
459,420.3635568,0.570418394,0.48689539,0.508431342,699,320.9374008,0.538131633
469,320.5387726,0.613663107,0.584137176,0.601343652,2389,1227.267873,0.587825727
471,656.5237758,0.493180651,0.443145078,0.430284561,1661,766.1162486,0.484755811
475,237.0765484,0.696000303,0.577379129,0.673650019,702,429.2716412,0.638527085
480,328.876904,0.523641308,0.490143805,0.503405656,1274,744.4257954,0.453190437
483,314.8315758,0.52667469,0.473683044,0.479043836,880,370.5343137,0.504323848
487,461.7787746,0.817004072,0.787688428,0.788476921,955,484.376408,0.809790529
500,558.84,0.266,0.248,0.241,9737,5317.518199,0.256930369
501,405.534216,0.244228078,0.214517502,0.225089414,3929,1823.519284,0.209165343
502,357.771209,0.372290113,0.311676484,0.34109521,3828,2474.967261,0.340661757
504,644.1068187,0.568005255,0.51441354,0.516432889,3185,1731.983998,0.563081544
506,301.099869,0.499570451,0.425868798,0.481999907,986,540.923708,0.460538396
511,375.0748364,0.972012464,0.964778105,0.965311695,518,376.3962439,0.97163569
512,442.9809621,0.87467437,0.82450521,0.811710147,305,183.3984207,0.872229765
515,457.287423,0.40671524,0.346460484,0.361031501,3373,2942.59717,0.379955622
517,387.301587,0.572313864,0.531992405,0.545143149,777,318.144132,0.554313905
520,829.380612,0.618903526,0.572092995,0.566955822,1911,1200.043338,0.615578582
531,364.4436069,0.597330894,0.504980045,0.559729465,2685,1241.955483,0.583356897
531,364.44,0.589,0.481,0.528,2685,1241.955483,0.573620319
532,286.4912273,0.57136064,0.518489178,0.547722863,950,571.8332595,0.536095021
540,679.0332439,0.293368472,0.246783594,0.243053733,3552,1980.230842,0.282786583
543,337.6636077,0.566256921,0.522030076,0.51628141,1687,699.3007353,0.548350768
544,310.3083285,0.377200403,0.297973107,0.329615237,2155,1129.660833,0.349804487
547,711.9218234,0.511772021,0.465537554,0.457756457,4024,2356.456604,0.500728967
548,174.9852338,0.509979344,0.341457344,0.49622668,1367,563.1256048,0.376981745
555,321.6363039,0.600546793,0.559688301,0.585350957,908,376.5536111,0.550312011
557,538.6413377,0.658643064,0.586646511,0.584664386,1522,815.60825,0.654956032
566,492.5708295,0.833310884,0.775255913,0.772170761,635,399.6603696,0.828615625
573,276.9863261,0.313177547,0.269711309,0.294902507,2614,1719.525757,0.261469583
574,264.6379618,0.689957792,0.649347762,0.68254052,617,247.4862349,0.640476691
578,378.4984774,0.761988894,0.731591521,0.750984155,548,225.1269709,0.756481902
589,595.3495162,0.867796779,0.832773392,0.80373026,396,168.6976964,0.862947824
594,471.9135973,0.196836841,0.159036812,0.173754893,2194,897.2949688,0.183713975
620,361.7921182,0.763049981,0.724577074,0.739864287,780,522.4855114,0.738273614
621,453.2244979,0.195087224,0.145631006,0.151067451,4996,2127.526591,0.182924829
626,526.4166735,0.20916753,0.172463682,0.173579451,4053,2045.839873,0.190465896
631,469.61,0.129,0.115,0.114,8718,3631.944427,0.114943396
632,475.89,0.244,0.215,0.222,2576,1326.842003,0.206054815
633,670.26,0.099,0.088,0.087,7760,4958.248758,0.082599024
644,471.67,0.596,0.573,0.575,1555,729.1742857,0.583643311
656,567.4955815,0.425348579,0.384267346,0.383519696,1076,448.6015856,0.407679811
660,801.64,0.072,0.065,0.062,9652,6167.012864,0.064166646
663,199.6379975,0.419678782,0.264047299,0.414739039,4145,2120.681116,0.282867093
666,743.29,0.125,0.106,0.103,8808,4845.809855,0.110589202
667,283.4587048,0.243154533,0.189672457,0.240204028,3187,1317.701588,0.159384296
670,466.5498399,0.482994508,0.450008905,0.434163657,4384,3011.235521,0.474176704
671,253.1503704,0.909658809,0.858272069,0.876377696,247,99.12825613,0.892368712
673,238.9444315,0.515816441,0.424321089,0.496117094,1757,713.0048003,0.401485227
683,603.6544665,0.59205911,0.538132112,0.496806298,2919,1310.252871,0.579840986
691,411.3263459,0.485664748,0.458084742,0.473437021,904,377.7600934,0.444705651
707,464.35,0.387,0.372,0.363,2306,1428.37011,0.369877501
714,626.04,0.261,0.088,0.089,5440,2901.73414,0.256863873
717,500.1,0.337,0.314,0.312,3666,2355.827135,0.308254972
718,485.1,0.836,0.816,0.82,901,621.2596912,0.825544509
721,506.84,0.45,0.4,0.39,3430,2083.568672,0.444990293
730,623.01,0.735,0.669,0.622,6981,3989.902474,0.730513353
735,441.35,0.345,0.313,0.311,3537,2035.597887,0.328534784
748,674.78,0.867,0.85,0.833,571,234.3460692,0.863540086
757,482.06,0.572,0.554,0.555,3947,3185.13945,0.549474815
797,696.31,0.537,0.461,0.427,1723,915.1692661,0.532817682
838,902.83,0.206,0.16,0.145,7617,4539.402697,0.198123045
849,192.28,0.427,0.29,0.422,2446,1278.792535,0.290256157
859,699.19,0.679,0.647,0.616,3627,2466.115353,0.677350951
876,756.49,0.254,0.235,0.235,6770,4240.732763,0.245840043
889,540.29,0.645,0.593,0.572,1243,1333.477655,0.636508692
901,778.0812493,0.314287666,0.268458375,0.264993422,3246,1912.025251,0.307019325
917,311.7084103,0.250773773,0.180029639,0.223916245,4944,2824.047172,0.23075983
918,360.9945129,0.351251529,0.316626659,0.337901592,2056,1051.868954,0.315064264
920,376.1558622,0.352491319,0.292411559,0.322923718,2370,1297.886428,0.320591666
926,559.68,0.28,0.241,0.248,6082,3647.563127,0.237348679
931,390.8642757,0.422648431,0.023573474,0.025565524,3817,1998.944431,0.418481261
